region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,pred,price,id
central NJ,1993,honda,excellent,6 cylinders,gas,102559,clean,automatic,rwd,mid-size,SUV,blue,nj,11614.63240694045,12461.0,17550
atlanta,1991,ford,fair,6 cylinders,gas,65215,clean,automatic,4wd,full-size,truck,red,-1,13903.814375927439,6955.0,17552
las cruces,2010,ford,excellent,4 cylinders,gas,110603,clean,automatic,fwd,mid-size,sedan,silver,nm,9253.018166353693,5496.0,17569
kalamazoo,1985,chevrolet,fair,other,gas,330270,clean,automatic,4wd,full-size,pickup,green,mi,4774.7392353077885,1438.0,17572
stockton,2014,bmw,excellent,4 cylinders,gas,70223,clean,manual,fwd,compact,sedan,grey,ca,11818.56189433462,15287.0,17586
south bend / michiana,2010,hyundai,excellent,4 cylinders,gas,120699,clean,manual,fwd,full-size,sedan,black,in,7331.108413824579,3373.0,17607
"st louis, MO",2005,gmc,excellent,6 cylinders,gas,179256,clean,manual,fwd,full-size,truck,green,mo,7232.976363846799,3703.0,17608
denver,2007,ram,excellent,8 cylinders,gas,154444,clean,automatic,4wd,full-size,truck,white,co,17852.559437334305,4739.0,17620
"washington, DC",2008,ram,like new,8 cylinders,gas,229139,clean,automatic,4wd,full-size,pickup,black,dc,15476.966989561683,16076.0,17623
sioux falls / SE SD,2009,chevrolet,excellent,8 cylinders,gas,102549,clean,automatic,4wd,full-size,sedan,black,sd,12589.509556323057,7709.0,17634
st cloud,2012,toyota,excellent,4 cylinders,gas,83707,rebuilt,automatic,fwd,mid-size,SUV,silver,mn,11938.540502674645,14894.0,17655
minneapolis / st paul,2018,ford,like new,8 cylinders,gas,33843,clean,automatic,rwd,full-size,truck,black,-1,35658.958165405085,21669.0,17668
pensacola,2012,chevrolet,excellent,6 cylinders,gas,115045,clean,automatic,4wd,full-size,truck,black,fl,19845.985576249426,18104.0,17704
flagstaff / sedona,2010,toyota,fair,4 cylinders,gas,222310,clean,manual,fwd,compact,sedan,blue,az,3625.807566748699,3597.0,17719
rapid city / west SD,2008,ford,excellent,6 cylinders,gas,18496,clean,automatic,rwd,full-size,truck,white,sd,25087.035680260276,12146.0,17720
south coast,1998,dodge,fair,8 cylinders,gas,185293,clean,manual,rwd,full-size,coupe,green,ma,4912.894237825414,2803.0,17724
huntsville / decatur,2016,ford,excellent,4 cylinders,gas,147925,clean,manual,fwd,sub-compact,sedan,white,al,11268.208307266003,7359.0,17739
nashville,1995,ford,good,8 cylinders,diesel,104468,clean,manual,rwd,full-size,truck,blue,tn,17626.087384363404,15444.0,17741
rhode island,2004,chevrolet,excellent,4 cylinders,gas,57016,rebuilt,automatic,fwd,mid-size,SUV,black,ri,13625.488608203596,2000.0,17746
pittsburgh,2015,chevrolet,excellent,6 cylinders,-1,21388,rebuilt,automatic,fwd,mid-size,SUV,black,pa,23352.462642393773,18408.0,17750
reno / tahoe,2010,ford,like new,4 cylinders,gas,175375,clean,automatic,fwd,full-size,sedan,green,ca,7849.652193704387,7551.0,17755
salt lake city,2004,ram,good,8 cylinders,diesel,103346,clean,automatic,4wd,full-size,truck,white,ut,20888.289028713247,6520.0,17763
las vegas,2015,audi,excellent,4 cylinders,gas,48497,clean,automatic,fwd,compact,sedan,black,nv,14814.118000112241,19428.0,17766
springfield,2006,ram,excellent,6 cylinders,diesel,145095,clean,manual,4wd,full-size,truck,white,-1,22513.556533319643,23502.0,17770
kennewick-pasco-richland,2006,bmw,like new,6 cylinders,gas,185342,clean,automatic,fwd,mid-size,sedan,green,wa,5680.055049674353,21342.0,17773
south jersey,1981,ford,good,4 cylinders,gas,98230,clean,manual,rwd,mid-size,coupe,green,nj,7714.641378273955,4635.0,17803
erie,2013,ford,excellent,6 cylinders,gas,97989,clean,automatic,fwd,full-size,SUV,white,pa,14085.81814808189,9634.0,17826
baltimore,2010,ford,excellent,6 cylinders,gas,182847,clean,automatic,4wd,mid-size,SUV,black,md,13141.826217777794,7809.0,17839
sarasota-bradenton,2001,ford,excellent,8 cylinders,-1,140782,clean,manual,rwd,full-size,pickup,green,fl,11528.545724006137,17655.0,17843
central NJ,2015,bmw,excellent,6 cylinders,gas,32849,rebuilt,automatic,fwd,mid-size,sedan,blue,nj,20155.090518720215,25875.0,17852
orlando,2014,mazda,excellent,4 cylinders,gas,192360,lien,manual,fwd,compact,hatchback,red,fl,6413.751655118307,5878.0,17856
stockton,2016,buick,like new,4 cylinders,gas,76623,clean,automatic,fwd,mid-size,SUV,silver,ca,14994.707155858865,11597.0,17870
albany,2012,bmw,excellent,6 cylinders,gas,78250,clean,automatic,fwd,mid-size,sedan,black,ny,12736.3298687262,5428.0,17894
sarasota-bradenton,2012,volkswagen,excellent,4 cylinders,gas,84359,clean,manual,fwd,compact,sedan,silver,-1,7178.755889743334,7687.0,17900
portland,2014,ford,excellent,4 cylinders,gas,1370,clean,automatic,rwd,compact,convertible,black,or,24134.536425746744,17537.0,17935
tampa bay area,1985,chevrolet,excellent,8 cylinders,gas,169266,clean,manual,rwd,full-size,truck,green,fl,9555.950836272677,12598.0,17947
new york city,2012,cadillac,excellent,6 cylinders,-1,133963,clean,automatic,fwd,mid-size,sedan,blue,-1,10312.291073627537,8739.0,17948
atlanta,2015,hyundai,like new,4 cylinders,gas,101128,clean,automatic,fwd,full-size,sedan,red,ga,8560.70535307168,15945.0,17969
wichita,2011,kia,like new,4 cylinders,gas,69238,clean,automatic,fwd,mid-size,sedan,black,ks,11836.172591052717,9091.0,17971
reading,2003,acura,excellent,6 cylinders,gas,208027,clean,automatic,4wd,full-size,SUV,black,pa,8488.997803397244,5374.0,17979
south coast,2012,buick,excellent,4 cylinders,gas,115754,clean,automatic,fwd,full-size,SUV,black,ma,11101.418416553875,7294.0,17984
tucson,1969,ford,fair,8 cylinders,gas,128803,clean,manual,rwd,full-size,truck,orange,az,9946.945745045086,2408.0,17988
tampa bay area,2014,ford,excellent,6 cylinders,gas,102162,clean,automatic,fwd,mid-size,sedan,white,fl,12612.518038978567,7733.0,18013
cleveland,2004,toyota,excellent,6 cylinders,gas,180252,clean,manual,fwd,full-size,SUV,black,oh,6953.354222515365,24533.0,18014
monterey bay,2004,chevrolet,fair,4 cylinders,gas,166118,rebuilt,automatic,fwd,mid-size,coupe,green,ca,4338.210463056108,2601.0,18021
vermont,2018,audi,excellent,4 cylinders,gas,316008,clean,automatic,fwd,compact,sedan,silver,vt,9173.936944111949,8242.0,18039
bismarck,2008,chevrolet,good,6 cylinders,gas,93608,clean,automatic,fwd,full-size,SUV,green,-1,7236.001880069962,2817.0,18040
lansing,2014,ford,like new,8 cylinders,diesel,6534,clean,automatic,4wd,full-size,pickup,silver,mi,39364.60288289725,32106.0,18048
york,2011,ram,excellent,8 cylinders,diesel,27995,clean,manual,4wd,full-size,truck,black,pa,37925.05497626006,25949.0,18051
san luis obispo,2016,toyota,like new,4 cylinders,gas,17205,clean,automatic,fwd,mid-size,sedan,white,ca,17518.112464179983,40544.0,18074
stillwater,2008,ford,excellent,4 cylinders,gas,86842,clean,automatic,fwd,compact,sedan,green,ok,7945.529296234017,6118.0,18085
boston,1993,chevrolet,good,8 cylinders,diesel,80229,clean,manual,4wd,full-size,SUV,black,ma,16971.519093503943,6591.0,18131
richmond,2001,hyundai,good,4 cylinders,gas,165349,clean,manual,fwd,compact,sedan,black,va,3569.5973798201885,4355.0,18151
mcallen / edinburg,2010,kia,like new,4 cylinders,gas,121315,rebuilt,automatic,fwd,mid-size,sedan,black,tx,9329.922541970154,6880.0,18156
el paso,2013,bmw,excellent,6 cylinders,gas,132575,lien,automatic,4wd,mid-size,sedan,black,tx,15779.14435086376,19308.0,18159
tuscaloosa,2007,ford,good,6 cylinders,gas,116279,clean,automatic,rwd,mid-size,SUV,white,al,10766.48839765205,4715.0,18172
pittsburgh,2008,bmw,excellent,6 cylinders,gas,145734,clean,automatic,rwd,mid-size,sedan,red,pa,10438.760396236321,11715.0,18183
madison,2013,bmw,excellent,6 cylinders,gas,78890,clean,automatic,fwd,mid-size,sedan,black,wi,12470.817969135707,16123.0,18184
columbus,2005,chevrolet,excellent,6 cylinders,gas,31113,clean,manual,rwd,full-size,pickup,green,oh,18426.695096216863,20614.0,18194
central NJ,2015,audi,like new,4 cylinders,gas,142454,clean,automatic,fwd,mid-size,sedan,grey,nj,10719.33590401127,5688.0,18196
central NJ,1990,chevrolet,good,8 cylinders,gas,95556,clean,automatic,rwd,full-size,pickup,blue,nj,12517.463220705977,3735.0,18212
los angeles,2007,ford,like new,6 cylinders,gas,-1,clean,automatic,rwd,full-size,truck,white,ca,21756.9999537298,4642.0,18218
charlotte,2013,honda,excellent,4 cylinders,gas,152677,rebuilt,automatic,fwd,compact,sedan,blue,nc,7454.85997595056,8629.0,18243
detroit metro,2010,hyundai,like new,4 cylinders,gas,117163,clean,automatic,fwd,mid-size,sedan,grey,mi,7163.619727859041,6244.0,18245
sacramento,2014,hyundai,like new,4 cylinders,gas,121544,salvage,automatic,fwd,mid-size,sedan,black,ca,7890.753066504141,6987.0,18258
south bend / michiana,2014,toyota,excellent,6 cylinders,gas,353859,-1,automatic,4wd,full-size,-1,white,in,12335.208063967293,5933.0,18266
baltimore,2000,dodge,good,6 cylinders,gas,171864,clean,automatic,fwd,mid-size,van,silver,md,5703.556315550348,3339.0,18267
hickory / lenoir,2013,ford,like new,6 cylinders,gas,82367,clean,automatic,rwd,mid-size,SUV,black,nc,18289.835213644197,17261.0,18268
lexington,2000,jeep,like new,6 cylinders,gas,197026,clean,other,4wd,mid-size,SUV,blue,ky,11326.957515954738,22951.0,18271
la crosse,2017,ford,good,4 cylinders,gas,115186,clean,automatic,fwd,mid-size,truck,black,wi,16517.250841177767,20888.0,18272
eastern CT,2016,chevrolet,excellent,6 cylinders,gas,57469,salvage,automatic,fwd,full-size,SUV,green,ct,19150.250065168133,12590.0,18276
winston-salem,2018,ford,like new,8 cylinders,gas,43228,rebuilt,automatic,fwd,mid-size,sedan,brown,nc,19717.290563268354,10605.0,18300
vermont,2019,chevrolet,excellent,8 cylinders,diesel,101200,clean,automatic,4wd,full-size,pickup,white,vt,33727.08147794916,19162.0,18305
raleigh / durham / CH,1993,jeep,excellent,6 cylinders,gas,129577,clean,manual,fwd,mid-size,SUV,brown,nc,7509.154403039953,9287.0,18324
western slope,2003,mercedes-benz,excellent,6 cylinders,gas,33723,clean,manual,rwd,mid-size,coupe,silver,co,17222.790571190184,24941.0,18330
dallas / fort worth,2009,chevrolet,like new,4 cylinders,gas,175403,clean,automatic,fwd,mid-size,SUV,blue,tx,9348.277959758183,3157.0,18341
lehigh valley,2011,ford,excellent,8 cylinders,gas,14709,rebuilt,automatic,fwd,full-size,sedan,white,pa,19211.145673066145,16876.0,18346
madison,2014,ford,excellent,4 cylinders,gas,142384,clean,automatic,fwd,mid-size,sedan,green,wi,9651.317880386254,4351.0,18352
"washington, DC",2007,ford,good,8 cylinders,diesel,334126,clean,automatic,4wd,full-size,truck,red,dc,10013.657811177662,4173.0,18364
saginaw-midland-baycity,2007,buick,excellent,4 cylinders,gas,219587,rebuilt,automatic,4wd,full-size,SUV,green,-1,7978.576004199451,13929.0,18370
baltimore,2013,nissan,excellent,8 cylinders,gas,178979,clean,automatic,fwd,full-size,SUV,black,md,9147.673010157188,5650.0,18380
grand rapids,2015,chevrolet,excellent,6 cylinders,diesel,113229,rebuilt,automatic,4wd,full-size,SUV,silver,mi,26710.738678732654,20894.0,18401
central NJ,2018,ford,excellent,4 cylinders,gas,-1,clean,automatic,fwd,mid-size,SUV,black,nj,18147.618634929648,17972.0,18402
jersey shore,2011,bmw,excellent,6 cylinders,gas,159513,clean,manual,4wd,mid-size,SUV,blue,nj,14495.002957798308,24494.0,18414
detroit metro,2012,bmw,excellent,8 cylinders,gas,93595,clean,automatic,fwd,mid-size,sedan,silver,mi,10624.311189008644,15704.0,18419
central NJ,1990,jeep,fair,6 cylinders,diesel,140337,clean,automatic,4wd,full-size,SUV,blue,nj,11186.474411470583,6343.0,18420
spokane / coeur d'alene,2008,ford,good,6 cylinders,gas,140461,rebuilt,manual,fwd,full-size,SUV,blue,id,7685.201190406224,7338.0,18438
tampa bay area,1996,ford,fair,8 cylinders,gas,137450,clean,automatic,rwd,full-size,coupe,green,fl,5912.187458449742,2865.0,18465
elko,2012,ram,good,6 cylinders,diesel,122004,clean,automatic,4wd,full-size,truck,white,nv,24612.730406550458,7885.0,18471
cedar rapids,2012,chevrolet,excellent,6 cylinders,gas,72186,clean,automatic,rwd,full-size,truck,white,ia,23325.602037690347,16593.0,18475
anchorage / mat-su,2000,bmw,excellent,6 cylinders,gas,144506,clean,automatic,rwd,full-size,sedan,black,ak,11081.981854155427,19525.0,18479
"washington, DC",2010,ram,excellent,8 cylinders,diesel,166384,clean,automatic,4wd,full-size,pickup,black,dc,23349.192950768163,34423.0,18491
space coast,2013,chevrolet,excellent,4 cylinders,gas,137969,clean,automatic,fwd,full-size,sedan,green,fl,9421.771500104805,13166.0,18526
lincoln,1996,gmc,excellent,6 cylinders,gas,114211,parts only,automatic,4wd,full-size,truck,black,ne,16173.872011415428,26750.0,18542
southwest michigan,2006,subaru,excellent,4 cylinders,gas,115774,clean,automatic,fwd,full-size,SUV,silver,-1,8854.974046582123,16069.0,18549
eau claire,2013,chevrolet,like new,8 cylinders,gas,107827,-1,other,4wd,full-size,-1,blue,wi,16599.72587862215,21749.0,18555
hawaii,1999,bmw,excellent,6 cylinders,gas,90087,clean,manual,rwd,compact,convertible,black,hi,12549.57869638293,6692.0,18570
south bend / michiana,2015,honda,excellent,4 cylinders,gas,102618,rebuilt,automatic,fwd,compact,SUV,silver,in,10559.48021767824,17644.0,18574
norfolk / hampton roads,1999,ford,fair,8 cylinders,gas,139451,clean,automatic,rwd,full-size,sedan,black,va,6840.536197194597,2449.0,18598
fresno / madera,2012,ford,excellent,4 cylinders,gas,67106,clean,automatic,fwd,full-size,sedan,black,ca,13727.519333772128,21083.0,18603
hawaii,1981,ford,good,8 cylinders,gas,150535,clean,manual,rwd,full-size,convertible,black,hi,8772.693640509387,5664.0,18613
chautauqua,2002,bmw,excellent,6 cylinders,gas,95041,clean,automatic,fwd,mid-size,sedan,blue,ny,8810.977746417513,4403.0,18615
nashville,2015,chevrolet,excellent,4 cylinders,gas,18147,rebuilt,automatic,4wd,mid-size,sedan,black,tn,25103.386104097357,24749.0,18618
austin,2006,honda,excellent,4 cylinders,gas,112266,clean,automatic,fwd,full-size,SUV,blue,tx,8370.162840863457,3048.0,18631
albany,2011,ford,good,8 cylinders,gas,123432,clean,automatic,rwd,compact,bus,white,ny,11856.455284388503,17131.0,18634
bozeman,2014,ford,excellent,8 cylinders,gas,89591,clean,manual,4wd,full-size,SUV,blue,mt,17862.235995437717,16722.0,18635
tampa bay area,2002,lexus,fair,6 cylinders,gas,173907,-1,automatic,fwd,full-size,-1,blue,fl,4947.565853113076,2396.0,18641
sioux city,2008,volkswagen,excellent,4 cylinders,gas,83513,clean,manual,fwd,compact,sedan,black,ia,6318.197101518279,13981.0,18642
roanoke,2004,nissan,fair,4 cylinders,gas,190992,clean,automatic,fwd,full-size,sedan,silver,va,3430.0104237587657,3270.0,18674
north jersey,2009,chrysler,like new,4 cylinders,gas,34412,rebuilt,automatic,fwd,mid-size,sedan,silver,nj,11093.490313879913,23560.0,18680
buffalo,1990,toyota,fair,4 cylinders,gas,136656,clean,manual,4wd,full-size,sedan,green,ny,5137.325779430335,5366.0,18711
rhode island,2009,subaru,excellent,4 cylinders,gas,128644,clean,manual,fwd,mid-size,SUV,silver,ri,9060.132307240507,4395.0,18712
outer banks,1989,mercedes-benz,excellent,8 cylinders,gas,52462,clean,automatic,rwd,full-size,coupe,silver,nc,16150.763591617113,16312.0,18717
buffalo,2005,bmw,excellent,6 cylinders,gas,137968,clean,automatic,rwd,mid-size,sedan,black,ny,9766.063746655127,3171.0,18731
chicago,2016,ford,like new,4 cylinders,gas,38229,clean,automatic,rwd,full-size,van,white,il,30187.195874025812,33106.0,18759
mcallen / edinburg,2012,dodge,good,6 cylinders,gas,109739,rebuilt,automatic,rwd,mid-size,SUV,silver,tx,12684.310433942592,39059.0,18781
phoenix,1993,ford,good,8 cylinders,gas,50298,lien,automatic,rwd,full-size,sedan,black,az,14774.663154234877,5085.0,18787
south jersey,2011,chevrolet,excellent,4 cylinders,gas,98845,clean,automatic,fwd,full-size,sedan,black,-1,10597.432363366475,6723.0,18801
inland empire,2012,chevrolet,excellent,6 cylinders,gas,86115,-1,automatic,rwd,full-size,-1,black,ca,18446.979152999585,20320.0,18846
indianapolis,2009,mercedes-benz,excellent,6 cylinders,gas,201453,clean,automatic,fwd,full-size,sedan,silver,-1,7200.271613636753,6757.0,18870
orange county,2019,chevrolet,good,8 cylinders,gas,109281,clean,automatic,4wd,full-size,SUV,white,ca,20057.58825040213,27603.0,18882
scranton / wilkes-barre,2014,nissan,excellent,6 cylinders,gas,111844,lien,manual,4wd,full-size,sedan,black,pa,14542.703837249195,5924.0,18894
new york city,2012,toyota,excellent,6 cylinders,gas,167316,clean,automatic,fwd,full-size,pickup,silver,ny,10155.812563443324,7042.0,18903
central NJ,2021,alfa-romeo,like new,4 cylinders,gas,61985,parts only,automatic,4wd,mid-size,SUV,blue,nj,20563.062213992467,33489.0,18908
inland empire,2017,toyota,excellent,4 cylinders,gas,-1,clean,automatic,fwd,mid-size,SUV,black,ca,16043.58799528121,16751.0,18909
asheville,2014,honda,excellent,4 cylinders,gas,244911,rebuilt,automatic,fwd,compact,SUV,blue,nc,8139.622319178423,4733.0,18914
poconos,2009,ram,excellent,8 cylinders,diesel,138206,clean,automatic,rwd,full-size,truck,black,pa,22474.935575673124,21385.0,18918
evansville,2019,chevrolet,good,4 cylinders,gas,9810,clean,manual,rwd,compact,coupe,white,in,25286.25291048526,16834.0,18924
charlottesville,2012,bmw,excellent,6 cylinders,gas,40135,rebuilt,automatic,rwd,mid-size,coupe,black,va,23325.68218493997,38622.0,18954
appleton-oshkosh-FDL,2012,audi,fair,4 cylinders,gas,228373,rebuilt,manual,fwd,mid-size,sedan,silver,wi,6392.989619932836,7298.0,18986
central NJ,2010,nissan,like new,4 cylinders,gas,99654,clean,automatic,fwd,mid-size,sedan,blue,nj,8647.133763273945,8327.0,19009
south jersey,2016,ford,fair,4 cylinders,gas,227366,clean,manual,4wd,full-size,SUV,silver,nj,9311.84054868645,27752.0,19014
east oregon,2014,chevrolet,good,4 cylinders,gas,33144,salvage,automatic,fwd,full-size,sedan,black,or,15615.485770292347,6342.0,19016
rhode island,2012,chevrolet,good,4 cylinders,gas,53241,clean,automatic,fwd,full-size,SUV,black,ri,14588.32123149163,8776.0,19018
central NJ,2014,ford,like new,6 cylinders,gas,62093,clean,automatic,fwd,full-size,truck,white,nj,21290.97386330343,31949.0,19029
rochester,2014,chevrolet,excellent,6 cylinders,-1,32361,rebuilt,manual,4wd,full-size,SUV,black,ny,26359.449466204038,33983.0,19050
dallas / fort worth,2015,audi,excellent,6 cylinders,gas,78259,clean,automatic,fwd,mid-size,coupe,silver,tx,15028.64164177305,22120.0,19066
"st louis, MO",2011,subaru,excellent,4 cylinders,gas,129965,clean,automatic,4wd,full-size,SUV,blue,mo,15186.388913132017,7024.0,19069
philadelphia,2008,chrysler,excellent,6 cylinders,gas,73501,clean,manual,rwd,mid-size,coupe,black,pa,12617.522173829144,7745.0,19092
maine,2013,bmw,like new,8 cylinders,gas,75484,clean,automatic,4wd,full-size,SUV,black,me,18536.095652090153,18464.0,19113
stockton,2012,bmw,like new,6 cylinders,gas,-1,clean,manual,fwd,compact,coupe,black,-1,13231.70345675177,8163.0,19131
champaign urbana,2006,ford,fair,6 cylinders,gas,157088,clean,automatic,rwd,full-size,mini-van,green,il,5286.017458179733,3632.0,19137
yuba-sutter,2006,ford,excellent,4 cylinders,gas,115092,clean,manual,fwd,mid-size,sedan,silver,ca,7237.018948996207,6507.0,19139
omaha / council bluffs,2013,chevrolet,good,6 cylinders,gas,80346,salvage,automatic,4wd,mid-size,truck,black,ia,18290.46764904796,8965.0,19142
nashville,2014,ford,excellent,4 cylinders,gas,100653,clean,automatic,4wd,mid-size,SUV,blue,-1,17946.662772852695,19640.0,19152
fargo / moorhead,2011,bmw,excellent,6 cylinders,gas,106184,clean,automatic,rwd,mid-size,coupe,black,mn,15242.240162079921,13092.0,19167
fort collins / north CO,2012,ford,excellent,8 cylinders,diesel,163557,clean,automatic,fwd,full-size,pickup,black,co,15930.06683922722,9072.0,19173
mcallen / edinburg,2013,ford,excellent,4 cylinders,gas,57152,clean,manual,fwd,compact,sedan,silver,tx,11755.95829697675,8301.0,19179
central NJ,2005,ford,excellent,8 cylinders,gas,158471,clean,automatic,rwd,full-size,truck,black,nj,12750.543360756477,2536.0,19194
treasure coast,2014,ford,like new,8 cylinders,gas,115157,clean,automatic,fwd,full-size,sedan,green,fl,11001.814902798971,5649.0,19200
indianapolis,2013,ford,good,6 cylinders,gas,85243,clean,automatic,rwd,mid-size,sedan,black,in,13359.820547006791,4156.0,19205
el paso,2015,ford,like new,8 cylinders,gas,203529,clean,automatic,fwd,full-size,pickup,blue,tx,15100.671189130982,19505.0,19209
norfolk / hampton roads,1988,chevrolet,good,6 cylinders,gas,137883,clean,automatic,rwd,full-size,truck,white,va,12571.957588666817,5778.0,19210
flint,2013,buick,like new,6 cylinders,gas,77965,clean,automatic,4wd,full-size,SUV,blue,mi,17526.45908400207,28983.0,19225
san diego,2017,kia,excellent,6 cylinders,gas,128593,clean,automatic,fwd,mid-size,van,white,ca,15007.4375087691,9080.0,19231
central NJ,2005,ford,fair,8 cylinders,gas,164374,clean,automatic,fwd,full-size,sedan,grey,nj,3876.005042606732,6489.0,19232
wilmington,1996,ford,excellent,8 cylinders,diesel,100709,clean,automatic,4wd,full-size,SUV,black,de,19998.162545213243,19505.0,19248
albuquerque,2008,toyota,excellent,4 cylinders,gas,116689,-1,automatic,fwd,compact,-1,green,nm,6175.836323292693,3393.0,19252
denver,2005,ford,good,8 cylinders,gas,170487,clean,automatic,4wd,full-size,SUV,blue,-1,7904.34006207413,5348.0,19273
orlando,2016,chevrolet,excellent,4 cylinders,gas,43270,clean,automatic,fwd,full-size,coupe,blue,fl,20315.556690027704,25460.0,19275
detroit metro,2011,honda,like new,4 cylinders,gas,88488,clean,automatic,fwd,compact,sedan,black,-1,7958.345076469472,5884.0,19286
des moines,2010,jeep,excellent,6 cylinders,gas,110370,rebuilt,automatic,4wd,mid-size,SUV,white,ia,17322.445601690328,11089.0,19296
dallas / fort worth,2014,nissan,good,4 cylinders,gas,177296,clean,automatic,fwd,full-size,sedan,silver,tx,6061.848880031845,3443.0,19298
dayton / springfield,2011,mini,good,4 cylinders,gas,142395,clean,manual,fwd,full-size,hatchback,black,oh,6071.4803999902215,8869.0,19317
palm springs,1922,mercedes-benz,excellent,6 cylinders,gas,123190,clean,automatic,rwd,full-size,coupe,custom,ca,17378.34734499734,31349.0,19319
fargo / moorhead,2010,ford,excellent,6 cylinders,gas,173513,clean,automatic,fwd,mid-size,sedan,silver,mn,8587.313112923643,22098.0,19321
colorado springs,2016,subaru,excellent,6 cylinders,gas,145747,clean,automatic,4wd,mid-size,SUV,black,co,18358.26522890455,10850.0,19323
atlanta,1999,toyota,good,4 cylinders,gas,109215,clean,manual,fwd,mid-size,coupe,silver,ga,5334.870097955456,5621.0,19327
denver,2014,volkswagen,excellent,4 cylinders,gas,102116,clean,manual,fwd,compact,coupe,grey,co,8216.14325023978,6071.0,19347
cleveland,2005,bmw,good,8 cylinders,gas,112170,clean,automatic,4wd,full-size,sedan,orange,oh,7567.380672488129,15635.0,19387
tampa bay area,1989,ford,good,8 cylinders,gas,155478,clean,automatic,fwd,full-size,SUV,white,-1,7355.038099774858,8184.0,19393
north jersey,2014,mazda,excellent,4 cylinders,gas,104473,clean,automatic,fwd,compact,sedan,white,-1,8495.713442785433,3349.0,19398
south florida,2019,volkswagen,like new,4 cylinders,gas,10288,clean,automatic,fwd,compact,sedan,blue,fl,14256.73372689425,14276.0,19416
bozeman,2015,ram,excellent,6 cylinders,diesel,104365,rebuilt,automatic,4wd,full-size,pickup,white,mt,30215.748088801047,33196.0,19422
binghamton,2012,volkswagen,excellent,4 cylinders,gas,50560,rebuilt,other,fwd,mid-size,sedan,black,ny,11500.121797971195,7482.0,19427
phoenix,2001,ford,excellent,4 cylinders,gas,176502,clean,automatic,fwd,mid-size,sedan,red,az,6905.8457873554435,6808.0,19434
jersey shore,2002,toyota,fair,6 cylinders,gas,173602,clean,manual,fwd,mid-size,coupe,silver,nj,3929.749060118338,2232.0,19444
boise,2010,jeep,excellent,6 cylinders,gas,97671,clean,automatic,4wd,full-size,SUV,black,id,17055.88755064062,7139.0,19459
los angeles,2019,toyota,like new,4 cylinders,gas,44386,rebuilt,automatic,fwd,mid-size,coupe,silver,ca,18350.04830937623,17747.0,19485
sioux falls / SE SD,2010,ram,excellent,6 cylinders,diesel,123739,clean,other,4wd,full-size,pickup,blue,sd,23335.202450139215,17706.0,19496
rochester,2014,bmw,like new,6 cylinders,gas,30033,clean,automatic,4wd,full-size,truck,white,ny,32878.54528960376,17190.0,19521
kennewick-pasco-richland,1997,lincoln,good,8 cylinders,gas,194450,clean,manual,4wd,full-size,truck,green,wa,6850.595723800128,3628.0,19541
albany,2015,ford,excellent,8 cylinders,diesel,15577,clean,automatic,4wd,full-size,truck,blue,ny,39715.85700476705,36609.0,19542
vermont,2011,chevrolet,excellent,8 cylinders,diesel,95845,clean,automatic,4wd,full-size,pickup,red,vt,23703.704444164177,17438.0,19550
plattsburgh-adirondacks,2000,lincoln,excellent,8 cylinders,gas,30707,clean,manual,rwd,full-size,pickup,silver,ny,18707.440488338238,8110.0,19557
bakersfield,2014,honda,good,6 cylinders,gas,131359,clean,automatic,fwd,full-size,SUV,grey,-1,8471.246134528657,6590.0,19558
milwaukee,2016,dodge,like new,6 cylinders,gas,135568,clean,automatic,fwd,full-size,SUV,black,wi,14595.06893777824,14202.0,19582
tulsa,2007,ford,good,8 cylinders,diesel,119926,clean,manual,rwd,full-size,truck,white,ok,16843.087477126857,5168.0,19623
tampa bay area,2013,lexus,excellent,4 cylinders,gas,89297,rebuilt,automatic,fwd,mid-size,sedan,grey,fl,10452.952347716084,6035.0,19624
atlanta,2001,jeep,fair,6 cylinders,gas,190877,clean,automatic,rwd,full-size,SUV,blue,ga,6379.939461761853,3496.0,19640
los angeles,2013,cadillac,like new,6 cylinders,gas,6388,rebuilt,automatic,rwd,full-size,SUV,silver,ca,27112.549442050746,16833.0,19674
san antonio,2020,acura,excellent,4 cylinders,gas,68018,clean,automatic,fwd,compact,sedan,black,tx,11912.66372134327,14201.0,19690
denver,2010,chevrolet,excellent,6 cylinders,gas,158085,-1,automatic,4wd,full-size,-1,blue,co,14359.471796802944,18899.0,19704
dallas / fort worth,2011,kia,like new,4 cylinders,gas,94212,clean,automatic,fwd,mid-size,sedan,black,tx,9595.133347248426,5042.0,19711
central NJ,2017,ford,excellent,6 cylinders,diesel,94473,clean,manual,4wd,full-size,truck,black,nj,30594.69705056562,34327.0,19712
rhode island,2017,chevrolet,excellent,6 cylinders,-1,1936,clean,automatic,rwd,full-size,truck,black,ri,36106.41494830488,23702.0,19730
spokane / coeur d'alene,2008,infiniti,excellent,6 cylinders,gas,147102,clean,manual,4wd,mid-size,SUV,silver,id,11449.11746368534,25922.0,19735
albuquerque,2012,chrysler,excellent,4 cylinders,gas,80315,clean,manual,fwd,mid-size,sedan,black,nm,9179.897582314676,6755.0,19736
rapid city / west SD,2012,jeep,like new,4 cylinders,gas,79155,clean,automatic,4wd,full-size,SUV,silver,sd,16770.815658056876,20027.0,19741
